address,value_satoshi,last_height
1PxGxWxanUqpCHncK2ADxcagqtSvHUWpUJ,1222417150257,9205
bc1qc9ld6ywrl2up9y8u5t8mk9mrxuy7nyqsneat5y,1436389575,45576
bc1q4wcfvt5f80tfuwngefy0wkuepnuafpnnc98h7r,306806809875,12403
bc1qjt4r2xa2m69z737gt03am7rj8hczt5fmua9kul,400524517,47330
bc1q0ckd9d8un9vm8zu9yv7hrqudw3vpyls9nplz7g,93375152283,48422
bc1qvjvacqlefun3qre5cxykzzjg0c82zdt62ed8r3,167735866137,9205
bc1qvg6e7u6utkyagy9hvk0fp4unu86wdndrq98jq3,16041865521,16597
bc1qtqrm3773tguhvtml0gjqekagltnc88qjc722r3,3414309251,48422
bc1q2aumxtwh9yc6r3yvx3nayswjfyxejmlsxe7n2v,980266350,46784
bc1q28qqe4w0xxauwa2yjwtdw9sv99suxrncaxek9s,354682037612,9205
bc1qfksue8r8dwp2d48px758yjf8nran26rvn9ud2t,7169620528,46784
bc1q8wlntkzn336v459h7m0fu3nw9tarlfyg2psmtc,1182472780632,9205
bc1q9mrt96t2lrhvfckcsdj2lhdw8y976d2l3cjvw4,20934891545,12403
bc1q9dva7yglh8m56gvnrkrlww3742pqn7t3cn63zj,87504403401,48422
bc1q92d8p2g43qe88tr4slp0f3k2khrxytce0e2wrr,69004498931,5208
bc1qracz7908qwck292e0939pftwk8rkyzglkrp253,8094855120,45576
bc1qru2s9spen8hyn4tuqrdxneneyx8ufmh379f079,5219641685,45576
bc1qr8095r59a3rf6xuwgpflc7k225c546n3t029v8,94455313201,48422
bc1qzd2wh90jz540c4tfjl3ylkg9w5jezxr665vemt,28056650566,9205
bc1qzteqq0sp443jjqprgzx55h4qr3tezy873v8das,42202943132,48422
bc1qpg876ytmduduamrvp7ajdaaudtgrmr7570g2r8,3426413846,48422
bc1qprtjgwz2nan2mxdu5m0zjhfrmxrq65jat94qqa,619309984,47330
bc1qqcnhvel549cc8jycaj75mr7a4sr4kpw84jnm2d,275618449908,9205
bc1qqhqqrh6xjzeswdpaudfaqam6dus5mgenpy79ff,93988508848,9205
1D583VK94wbgMAdHhoTePcneVXPFTiQmuy,788505300,48422
1MUgBdRmfEaSddaGJmSigJ2B9uTQHo1zGB,5248031794,21653
bc1q7fvhtxc5vljewu0lv9xk3zekqdlv52enddrg4h,92942229667,9205
bc1q7z83ka9hm4ddrax6raz96z5a005sh79wmuh9dd,282710982192,9205
bc1qnf09m0k0hueuce9w8jjjjhwxx9sc76yl3msahl,429970997363,9205
bc1q0uh68dh5a9z9f9qwmf3znesrln3hlqwwg4sh78,400932980221,5208
bc1qw67yzfz7jxkd9epnh2l2ap55wkuzgk3tpssf00,71190321183,9205
bc1qdc3quhqfmh6wyh9uxaylg467l5qztntflgckkj,190248506100,9205
bc1qvehl2g686f6ez43mgw95hw9rz5v60c4f264ruy,246880319826,9205
bc1qgj7vnm3q8rsyxh4phglxy8xfsth2fh09ceadrt,389277200342,9205
bc1q8tp0pkpr6226yhwpry94zly0q73hkssgg79pgy,400324294649,9205
bc1qyqtnc6x6kwf0tfqwv6h60pmu27ynj3v8kdsdqn,344618431599,9205
bc1qln2jwdtsrtjc5dc38rf8vqtwugdsv4hq6xu8nt,53663420991,2878
bc1qaf3pvxsyvm9x87k9ewccwr6f3ru42mppxq7td7,80500805362,719
bc1q7a46s2uf5nhla6w32e67ckwzxljqyxyctquh2g,1687461432,50329
bc1q7ft0c8u5t8z8sggqrkvcryr3lql3a33pe2mj20,287746878443,12403
bc1qup9plgz95v9hckfpt4xwrdw8ez5tws7vvszkak,23986487889,48422
bc1qcwel47lhg39heylnufv32t7pecx3spr2rp9yjy,297073309764,9205
bc1qhlapzg3pgd9xyvgaz7rfveuv9gw6fdmpfzvj79,1430937767,50329
bc1q4q76wdakgss6z76dy7deuvjxf4q7z2pfdrpm98,64484892509,9657
bc1q5jkx6gumk7z4qsxl0sy6p7m5msjjucfee4l042,2294020323,48422
bc1qjevzuenwuu7xasgfnnmntpn260ff06j50y0m45,69599471051,16597
bc1q3n0pduh2taj6jux0kqa0km43665xqt46htyrky,2279354609,50329
bc1q3tk46krfgxyaht9kkrkvnhvdu7d89nqhwwtp3a,44176869009,16597
bc1qwkrz7szxph83vt5r8sq5n27xpgnevsupnn4vxt,47388613047,48422
bc1qw0tlk9h9rtljj8rp2gvdu547vgejzz8revruvy,169264648648,48422
bc1qddwwtxn87np47a976rwtyddwrnytcdxsxk66rz,195443542267,9205
bc1qdfegrumklkt9qznleffhvnfdp4jgnu9k7adg7h,327351793775,12403
bc1q8t8avrrt0tpqex3lyadx8efcxq406nysq26qx9,78983146609,16597
bc1qykyd4n38ayewk5alykz5wyvln3jcat3gdvt47q,238825823502,9205
bc1qywj944rn6zh8hztvqajlpu48zz2gffymjzshzw,1643306487,50329
