address,value_satoshi,last_height
76a914fbc6f72cb24505efd9c6592c07a100d25135bd4088ac,1222417150257,9205
0014c17edd11c3fab81290fca2cfbb17633709e99010,1436389575,45576
0014abb0962e893bd69e3a68ca48f75b990cf9d48673,306806809875,12403
001492ea351baade8a2f47c85be3ddf8723df025d13b,400524517,47330
00147e2cd2b4fc9959b38b85233d71838d7458127e05,93375152283,48422
00146499dc03f94f27100f34c189610a487e0ea1357a,167735866137,9205
001462359f735c5d89d410b7659e90d793e1f4e6cda3,16041865521,16597
00145807b8fbd15a39762f7f7a240cdba8fae7839c12,3414309251,48422
00145779b32dd72931a1c48c3467d241d2490d996ff0,980266350,46784
001451c00cd5cf31bbc775449396d7160c2961c30e78,354682037612,9205
00144da1cc9c676b82a6d4e137a872492798fb35686c,7169620528,46784
00143bbf35d8538c74cad0b7f6de9e466e2afa3fa488,1182472780632,9205
00142ec6b2e96af8eec4e2d88364afddae390bed355f,20934891545,12403
00142b59df111fb9f74d21931d87f73a3eaa8209f971,87504403401,48422
00142a9a70a915883273ac7587c2f4c6cab5c6622f19,69004498931,5208
00141f702f15e703b1651559796250a56eb1c762091f,8094855120,45576
00141f1502c03999ee49d57c00da69e679218fc4eef1,5219641685,45576
001419de5a0e85ec469d1b8e4053fc7aca55314aea71,94455313201,48422
00141354eb95f2152afc556997e24fd905752591187a,28056650566,9205
001412f2003e01ad63290023408d4a5ea01c579110fe,42202943132,48422
00140a0fed117b6f1bceec6c0fbb26f7bc6ad03d8fd4,3426413846,48422
001408d724384a9f66ad99bca6de295d23d9860d525d,619309984,47330
001406277667f4a97183c898ecbd4d8fddac075b05c7,275618449908,9205
001405c001df4690b307343de353d0777a6f214da333,93988508848,9205
76a91484690d6807ce5fc99ff6fd0d7944b5835547749988ac,788505300,48422
76a914e09e7485d8bea6d069422e703b647280127c8f6f88ac,5248031794,21653
0014f259759b1467e59771ff614d688b36037eca2b33,92942229667,9205
0014f08f1b74b7dd5ad1f4da1f445d0a9d7be90bf8ae,282710982192,9205
00149a5e5dbecfbf33cc64ae3ca5295dc631618f689f,429970997363,9205
00147f2fa3b6f4e94454940eda6229e603fce37f81ce,400932980221,5208
001476bc41245e91acd2e433babeae869475b8245a2b,71190321183,9205
00146e220e5c09ddf4e25cbc3749f4575efd0025cd69,190248506100,9205
0014666ff52347d27591563b438b4bb8a31519a7e2a9,246880319826,9205
001444bcc9ee2038e0435ea1ba3e621cc982eea4dde5,389277200342,9205
00143ac2f0d823d295a25dc1190b517c8f07a37b4208,400324294649,9205
001420173c68dab392f5a40e66afa7877c5789394587,344618431599,9205
0014fcd52735701ae58a371138d276016ee21b0656e0,53663420991,2878
0014ea62161a0466ca63fac5cbb1870f4988f9556c21,80500805362,719
0014f76ba82b89a4effee9d15675ec59c237e4021898,1687461432,50329
0014f256fc1f9459c47821001d99819071f83f1ec621,287746878443,12403
0014e04a1fa045a30b7c59215d4ce1b5c7c8a8b743cc,23986487889,48422
0014c3b3fafbf7444b7c93f3e259152fc1ce0d18046a,297073309764,9205
0014bffa112221434a62311d178696678c2a1da4b761,1430937767,50329
0014a83da737b64421a17b4d279b9e32464d41e12829,64484892509,9657
0014a4ac6d239bb7855040df7c09a0fb74dc252e6139,2294020323,48422
001496582e666ee73c6ec1099cf735866ad3d297ea54,69599471051,16597
00148cde16f2ea5f65a970cfb03afb6eb1d6a8602eba,2279354609,50329
00148aed5d58694189dbacb6b0ecc9dd8de79a72cc17,44176869009,16597
001475862f40460dcf162e833c0149abc60a27964381,47388613047,48422
001473d7fb16e51aff291c615218de52be62332108e3,169264648648,48422
00146b5ce59a67f4c35f74bed0dcb235ae1cc8bc34d0,195443542267,9205
00146a7281f376fd96500a7fca53764d2d0d6489f0b6,327351793775,12403
00143acfd60c6b7ac20c9a3f275a63e538302afd4c90,78983146609,16597
00142588dace27e932eb53bf258547119f9c658eae28,238825823502,9205
001423a45ad473d0ae7b896c0765f0f2a7109484a49b,1643306487,50329
00141e4d19e3da8225a96337a5300e66208cb1c86d58,237043258559,9205
00140d07105451c4e308ccbc1bf9a1427d132e5aacbd,40503182351,9205
00140b86315e1b1234625e884ca8334c6c9cb73a64e5,251889221414,12403
001404cb1e1aba5d5c40b4b10918215f2d6634e3be83,2371462279,48422
0014c032ac5cd0747acd145eda7c1f6022f8a89ca8a3,77452020610,48422
0014967ba27eda4dca4e650a4497a0a6e042a418fdaf,622549418012,51251
001413f3a49ffc8c3a69ac4bcedf23142e62cb13dbe7,21001911434,51251
76a9145e412a5c83e7956e9ed544370ce307584823cd9c88ac,57050231701,46784
